elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
12570,22788,building index: loading tuples,7168,2754,0,38565,69224,0
12629,22788,building index: loading tuples,7168,2770,0,38784,69224,0
12689,22788,building index: loading tuples,7168,2788,0,39036,69224,0
12748,22788,building index: loading tuples,7168,2805,0,39275,69224,0
12808,22788,building index: loading tuples,7168,2822,0,39521,69224,0
12868,22788,building index: loading tuples,7168,2837,0,39722,69224,0
12928,22788,building index: loading tuples,7168,2849,0,39890,69224,0
12987,22788,building index: loading tuples,7168,2860,0,40048,69224,0
13047,22788,building index: loading tuples,7168,2871,0,40199,69224,0
13107,22788,building index: loading tuples,7168,2882,0,40350,69224,0
13167,22788,building index: loading tuples,7168,2893,0,40506,69224,0
13228,22788,building index: loading tuples,7168,2904,0,40658,69224,0
13287,22788,building index: loading tuples,7168,2916,0,40824,69224,0
13348,22788,building index: loading tuples,7168,2928,0,40996,69224,0
13407,22788,building index: loading tuples,7168,2940,0,41168,69224,0
13466,22788,building index: loading tuples,7168,2952,0,41330,69224,0
13526,22788,building index: loading tuples,7168,2963,0,41484,69224,0
13585,22788,building index: loading tuples,7168,2973,0,41631,69224,0
13645,22788,building index: loading tuples,7168,2985,0,41792,69224,0
13704,22788,building index: loading tuples,7168,2996,0,41949,69224,0
13765,22788,building index: loading tuples,7168,3006,0,42097,69224,0
13825,22788,building index: loading tuples,7168,3017,0,42240,69224,0
13884,22788,building index: loading tuples,7168,3028,0,42402,69224,0
13943,22788,building index: loading tuples,7168,3040,0,42571,69224,0
14004,22788,building index: loading tuples,7168,3052,0,42730,69224,0
14064,22788,building index: loading tuples,7168,3063,0,42890,69224,0
14125,22788,building index: loading tuples,7168,3075,0,43052,69224,0
14185,22788,building index: loading tuples,7168,3086,0,43209,69224,0
14245,22788,building index: loading tuples,7168,3098,0,43380,69224,0
14306,22788,building index: loading tuples,7168,3109,0,43537,69224,0
14366,22788,building index: loading tuples,7168,3121,0,43697,69224,0
14426,22788,building index: loading tuples,7168,3132,0,43849,69224,0
14486,22788,building index: loading tuples,7168,3144,0,44023,69224,0
14545,22788,building index: loading tuples,7168,3156,0,44189,69224,0
14608,22788,building index: loading tuples,7168,3168,0,44352,69224,0
14670,22788,building index: loading tuples,7168,3178,0,44503,69224,0
14730,22788,building index: loading tuples,7168,3189,0,44658,69224,0
14791,22788,building index: loading tuples,7168,3200,0,44811,69224,0
14851,22788,building index: loading tuples,7168,3211,0,44965,69224,0
14911,22788,building index: loading tuples,7168,3223,0,45122,69224,0
14971,22788,building index: loading tuples,7168,3233,0,45272,69224,0
15031,22788,building index: loading tuples,7168,3244,0,45424,69224,0
15091,22788,building index: loading tuples,7168,3255,0,45581,69224,0
15151,22788,building index: loading tuples,7168,3266,0,45735,69224,0
15211,22788,building index: loading tuples,7168,3277,0,45890,69224,0
15271,22788,building index: loading tuples,7168,3288,0,46043,69224,0
15331,22788,building index: loading tuples,7168,3299,0,46198,69224,0
15392,22788,building index: loading tuples,7168,3311,0,46354,69224,0
15452,22788,building index: loading tuples,7168,3321,0,46503,69224,0
15514,22788,building index: loading tuples,7168,3332,0,46657,69224,0
15575,22788,building index: loading tuples,7168,3343,0,46815,69224,0
15635,22788,building index: loading tuples,7168,3355,0,46978,69224,0
15696,22788,building index: loading tuples,7168,3366,0,47137,69224,0
15756,22788,building index: loading tuples,7168,3379,0,47312,69224,0
15817,22788,building index: loading tuples,7168,3390,0,47461,69224,0
15876,22788,building index: loading tuples,7168,3399,0,47597,69224,0
15936,22788,building index: loading tuples,7168,3409,0,47732,69224,0
15996,22788,building index: loading tuples,7168,3419,0,47867,69224,0
16056,22788,building index: loading tuples,7168,3429,0,48014,69224,0
16116,22788,building index: loading tuples,7168,3439,0,48157,69224,0
16176,22788,building index: loading tuples,7168,3450,0,48303,69224,0
16236,22788,building index: loading tuples,7168,3461,0,48463,69224,0
16297,22788,building index: loading tuples,7168,3472,0,48608,69224,0
16357,22788,building index: loading tuples,7168,3483,0,48767,69224,0
16417,22788,building index: loading tuples,7168,3493,0,48914,69224,0
16477,22788,building index: loading tuples,7168,3504,0,49066,69224,0
16537,22788,building index: loading tuples,7168,3515,0,49213,69224,0
16596,22788,building index: loading tuples,7168,3525,0,49363,69224,0
