PID      INDEX            PHASE                              INTRA%    PCT     ELAPSED_S ETA_S    RISK
6219     (building oid=0) building index: loading tuples     89.20     89.20   89.7      15.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     89.65     89.65   90.3      14.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     90.00     90.00   90.8      14.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     90.40     90.40   91.3      13.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     90.74     90.74   91.8      13.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     91.09     91.09   92.4      12.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     91.43     91.43   92.9      12.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     91.72     91.72   93.4      11.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     92.06     92.06   94.0      11.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     92.40     92.40   94.5      10.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     92.86     92.86   95.0      10.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     93.22     93.22   95.5      9.5      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     93.64     93.64   96.1      8.9      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     94.00     94.00   96.6      8.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     94.54     94.54   97.1      7.8      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     94.85     94.85   97.7      7.2      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     95.25     95.25   98.2      6.5      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     95.63     95.63   98.7      5.8      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     96.00     96.00   99.2      5.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     96.29     96.29   99.8      4.7      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     96.64     96.64   100.3     4.2      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     97.01     97.01   100.8     3.7      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     97.36     97.36   101.3     3.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     97.68     97.68   101.9     2.8      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     98.07     98.07   102.4     2.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     98.39     98.39   102.9     1.8      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     98.74     98.74   103.5     1.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     99.10     99.10   104.0     0.8      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     99.46     99.46   104.5     0.3      ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     100.00    100.00  105.1     0.0      ⚠ 预测会降级落盘
（连续 10 轮没有构建，退出）
>>> 实时序列已存 /data/artifacts/live-20260827/live.csv（可作为报告里实时数据的原始产物）
